,fromNode,toNode,weight,direction,fromAltName,toAltName
92,ENSG00000068976.13,ENSG00000224699.8,0.024029767,undirected,PYGM,LAMTOR5-AS1
93,ENSG00000068976.13,ENSG00000226029.1,0.056489834,undirected,PYGM,LINC01772
94,ENSG00000068976.13,ENSG00000226180.3,0.055037635,undirected,PYGM,AC010536
95,ENSG00000068976.13,ENSG00000226328.6,0.048561781,undirected,PYGM,NUP50-AS1
96,ENSG00000068976.13,ENSG00000226721.2,0.08067702,undirected,PYGM,EEF1DP2
97,ENSG00000068976.13,ENSG00000227740.1,0.165106055,undirected,PYGM,AL513329
98,ENSG00000068976.13,ENSG00000228643.1,0.107573329,undirected,PYGM,AC079779
99,ENSG00000068976.13,ENSG00000230092.7,0.106040954,undirected,PYGM,AL669831
100,ENSG00000068976.13,ENSG00000230519.2,0.208208297,undirected,PYGM,HMGB1P49
101,ENSG00000068976.13,ENSG00000230532.1,0.12312193,undirected,PYGM,AC091133
102,ENSG00000068976.13,ENSG00000231194.1,0.146792123,undirected,PYGM,FARP1-AS1
103,ENSG00000068976.13,ENSG00000231595.1,0.07411731,undirected,PYGM,AC005224
104,ENSG00000068976.13,ENSG00000232656.7,0.245639989,undirected,PYGM,IDI2-AS1
105,ENSG00000068976.13,ENSG00000233266.1,0.054914876,undirected,PYGM,HMGB1P31
106,ENSG00000068976.13,ENSG00000233558.1,0.122107767,undirected,PYGM,AL050331
107,ENSG00000068976.13,ENSG00000234917.2,0.155990139,undirected,PYGM,AC098484
108,ENSG00000068976.13,ENSG00000236255.1,0.094688309,undirected,PYGM,AC009404
109,ENSG00000068976.13,ENSG00000236778.7,0.114071698,undirected,PYGM,INTS6-AS1
110,ENSG00000068976.13,ENSG00000240291.1,0.033040466,undirected,PYGM,AL450384
111,ENSG00000068976.13,ENSG00000241352.3,0.130715407,undirected,PYGM,AC007688
112,ENSG00000068976.13,ENSG00000241959.3,0.068555979,undirected,PYGM,RN7SL76P
113,ENSG00000068976.13,ENSG00000246922.8,0.218988719,undirected,PYGM,UBAP1L
114,ENSG00000068976.13,ENSG00000247982.6,0.140525627,undirected,PYGM,LINC00926
115,ENSG00000068976.13,ENSG00000248559.1,0.186425787,undirected,PYGM,AC109454
116,ENSG00000068976.13,ENSG00000251323.2,0.111200203,undirected,PYGM,AP003086
117,ENSG00000068976.13,ENSG00000251595.7,0.150244357,undirected,PYGM,ABCA11P
118,ENSG00000068976.13,ENSG00000251615.3,0.104561676,undirected,PYGM,AC104825
119,ENSG00000068976.13,ENSG00000253598.1,0.194251582,undirected,PYGM,SLC10A5
120,ENSG00000068976.13,ENSG00000256304.1,0.182231226,undirected,PYGM,CCDC150P1
121,ENSG00000068976.13,ENSG00000257225.1,0.160560939,undirected,PYGM,AC079601
122,ENSG00000068976.13,ENSG00000257511.1,0.065385581,undirected,PYGM,AC084824
123,ENSG00000068976.13,ENSG00000257557.2,0.056037707,undirected,PYGM,PPP1R12A-AS1
124,ENSG00000068976.13,ENSG00000257604.1,0.047597372,undirected,PYGM,AC027288
125,ENSG00000068976.13,ENSG00000257894.2,0.118721084,undirected,PYGM,AC027288
126,ENSG00000068976.13,ENSG00000258472.8,0.157734771,undirected,PYGM,AC005726
127,ENSG00000068976.13,ENSG00000258634.3,0.125220219,undirected,PYGM,AL160006
128,ENSG00000068976.13,ENSG00000258944.1,0.164399843,undirected,PYGM,AC004846
129,ENSG00000068976.13,ENSG00000259994.1,0.143631665,undirected,PYGM,AL353796
130,ENSG00000068976.13,ENSG00000260193.1,0.171189269,undirected,PYGM,AL138781
131,ENSG00000068976.13,ENSG00000260804.3,0.213438513,undirected,PYGM,LINC01963
132,ENSG00000068976.13,ENSG00000260966.1,0.199415147,undirected,PYGM,AP001486
133,ENSG00000068976.13,ENSG00000261087.1,0.097798004,undirected,PYGM,AP003469
134,ENSG00000068976.13,ENSG00000261096.1,0.094061048,undirected,PYGM,AC073476
135,ENSG00000068976.13,ENSG00000261359.2,0.17156979,undirected,PYGM,PYCARD-AS1
136,ENSG00000068976.13,ENSG00000261542.1,0.121699699,undirected,PYGM,AC011978
137,ENSG00000068976.13,ENSG00000261556.9,0.177045269,undirected,PYGM,SMG1P7
138,ENSG00000068976.13,ENSG00000261845.2,0.14900832,undirected,PYGM,AC124283
139,ENSG00000068976.13,ENSG00000262712.1,0.055369916,undirected,PYGM,AC012676
140,ENSG00000068976.13,ENSG00000263235.1,0.133194354,undirected,PYGM,AC006111
141,ENSG00000068976.13,ENSG00000263874.2,0.095460038,undirected,PYGM,LINC00672
142,ENSG00000068976.13,ENSG00000264247.1,0.051772457,undirected,PYGM,LINC00909
143,ENSG00000068976.13,ENSG00000264608.1,0.070843872,undirected,PYGM,AC005726
144,ENSG00000068976.13,ENSG00000266338.6,0.048377328,undirected,PYGM,NBPF15
145,ENSG00000068976.13,ENSG00000267283.1,0.107771031,undirected,PYGM,AC005306
146,ENSG00000068976.13,ENSG00000267858.5,0.069407273,undirected,PYGM,MZF1-AS1
147,ENSG00000068976.13,ENSG00000267892.1,0.057097108,undirected,PYGM,AC022144
148,ENSG00000068976.13,ENSG00000268744.1,0.102091281,undirected,PYGM,AC008758
149,ENSG00000068976.13,ENSG00000268798.1,0.085493117,undirected,PYGM,AC027307
150,ENSG00000068976.13,ENSG00000269318.1,0.120200608,undirected,PYGM,AC007292
151,ENSG00000068976.13,ENSG00000269896.2,0.070811168,undirected,PYGM,AL513477
152,ENSG00000068976.13,ENSG00000270231.3,0.077494675,undirected,PYGM,NBPF8
153,ENSG00000068976.13,ENSG00000270813.2,0.039706926,undirected,PYGM,NANOGNBP3
154,ENSG00000068976.13,ENSG00000271344.1,0.082269826,undirected,PYGM,AC018638
155,ENSG00000068976.13,ENSG00000272084.1,0.076210033,undirected,PYGM,AL137127
156,ENSG00000068976.13,ENSG00000272345.1,0.05348924,undirected,PYGM,AL031775
157,ENSG00000068976.13,ENSG00000272455.1,0.056305983,undirected,PYGM,AL391244
158,ENSG00000068976.13,ENSG00000272512.1,0.102339009,undirected,PYGM,AL645608
159,ENSG00000068976.13,ENSG00000272754.1,0.03468592,undirected,PYGM,AL133245
160,ENSG00000068976.13,ENSG00000273038.2,0.214162788,undirected,PYGM,AL365203
161,ENSG00000068976.13,ENSG00000273058.2,0.103337077,undirected,PYGM,AL359921
162,ENSG00000068976.13,ENSG00000273156.1,0.105264584,undirected,PYGM,AC124016
163,ENSG00000068976.13,ENSG00000273416.1,0.134852638,undirected,PYGM,AL732292
164,ENSG00000068976.13,ENSG00000273437.1,0.175777022,undirected,PYGM,AC108673
165,ENSG00000068976.13,ENSG00000273466.1,0.124628523,undirected,PYGM,AC012510
166,ENSG00000068976.13,ENSG00000273485.1,0.138322681,undirected,PYGM,AL139339
167,ENSG00000068976.13,ENSG00000273486.1,0.03314714,undirected,PYGM,AC096992
168,ENSG00000068976.13,ENSG00000273893.1,0.13708312,undirected,PYGM,AL133520
169,ENSG00000068976.13,ENSG00000275645.1,0.072742872,undirected,PYGM,AC068338
170,ENSG00000068976.13,ENSG00000277246.1,0.100630047,undirected,PYGM,AL157762
171,ENSG00000068976.13,ENSG00000277504.1,0.244134772,undirected,PYGM,AC010536
172,ENSG00000068976.13,ENSG00000277959.1,0.064059346,undirected,PYGM,AL162274
173,ENSG00000068976.13,ENSG00000278000.1,0.139675809,undirected,PYGM,AC139100
174,ENSG00000068976.13,ENSG00000279145.1,0.169664286,undirected,PYGM,AC011912
175,ENSG00000068976.13,ENSG00000279203.1,0.063990858,undirected,PYGM,AC005785
176,ENSG00000068976.13,ENSG00000279207.1,0.104958411,undirected,PYGM,AC015813
177,ENSG00000068976.13,ENSG00000279443.1,0.109167598,undirected,PYGM,AL513497
178,ENSG00000068976.13,ENSG00000279608.1,0.126779234,undirected,PYGM,AL353795
179,ENSG00000068976.13,ENSG00000279696.1,0.163425258,undirected,PYGM,AP001273
180,ENSG00000068976.13,ENSG00000279796.1,0.170226085,undirected,PYGM,AL133384
181,ENSG00000068976.13,ENSG00000279838.1,0.055709625,undirected,PYGM,AL356273
182,ENSG00000068976.13,ENSG00000279951.1,0.160893934,undirected,PYGM,AL138688
183,ENSG00000068976.13,ENSG00000280010.1,0.140161545,undirected,PYGM,AP001350
184,ENSG00000068976.13,ENSG00000280047.1,0.19397805,undirected,PYGM,AC091825
185,ENSG00000068976.13,ENSG00000280143.1,0.077995297,undirected,PYGM,AP000892
186,ENSG00000068976.13,ENSG00000280184.2,0.211069264,undirected,PYGM,AL023806
187,ENSG00000068976.13,ENSG00000280213.1,0.140449666,undirected,PYGM,UCKL1-AS1
188,ENSG00000068976.13,ENSG00000281026.1,0.050066336,undirected,PYGM,N4BP2L2-IT2
189,ENSG00000068976.13,ENSG00000283031.1,0.099252797,undirected,PYGM,AC009242
190,ENSG00000068976.13,ENSG00000283041.1,0.043064445,undirected,PYGM,AC008038
191,ENSG00000068976.13,ENSG00000284716.1,0.161284781,undirected,PYGM,AL034417
192,ENSG00000068976.13,ENSG00000284747.1,0.084402377,undirected,PYGM,AL034417
193,ENSG00000068976.13,ENSG00000285106.1,0.157308519,undirected,PYGM,AC016831
194,ENSG00000070669.16,ENSG00000102524.11,0.057340692,undirected,ASNS,TNFSF13B
195,ENSG00000070669.16,ENSG00000105131.7,0.035241111,undirected,ASNS,EPHX3
196,ENSG00000070669.16,ENSG00000116525.13,0.049465332,undirected,ASNS,TRIM62
197,ENSG00000070669.16,ENSG00000129749.3,0.052092501,undirected,ASNS,CHRNA10
198,ENSG00000070669.16,ENSG00000130518.16,0.033570293,undirected,ASNS,IQCN
199,ENSG00000070669.16,ENSG00000135407.10,0.021722904,undirected,ASNS,AVIL
200,ENSG00000070669.16,ENSG00000138769.10,0.060708568,undirected,ASNS,CDKL2
201,ENSG00000070669.16,ENSG00000144671.10,0.037213154,undirected,ASNS,SLC22A14
202,ENSG00000070669.16,ENSG00000146094.14,0.033936144,undirected,ASNS,DOK3
203,ENSG00000070669.16,ENSG00000147166.10,0.037237345,undirected,ASNS,ITGB1BP2
204,ENSG00000070669.16,ENSG00000147174.11,0.047240357,undirected,ASNS,GCNA
205,ENSG00000070669.16,ENSG00000152433.14,0.024679159,undirected,ASNS,ZNF547
206,ENSG00000070669.16,ENSG00000153495.10,0.045133296,undirected,ASNS,TEX29
207,ENSG00000070669.16,ENSG00000154263.17,0.043897336,undirected,ASNS,ABCA10
208,ENSG00000070669.16,ENSG00000155749.12,0.044831679,undirected,ASNS,ALS2CR12
209,ENSG00000070669.16,ENSG00000156427.7,0.045807155,undirected,ASNS,FGF18
210,ENSG00000070669.16,ENSG00000158023.9,0.027761303,undirected,ASNS,WDR66
211,ENSG00000070669.16,ENSG00000159899.14,0.030599601,undirected,ASNS,NPR2
212,ENSG00000070669.16,ENSG00000164010.14,0.046575883,undirected,ASNS,ERMAP
213,ENSG00000070669.16,ENSG00000165917.9,0.036608579,undirected,ASNS,RAPSN
214,ENSG00000070669.16,ENSG00000165923.15,0.037179453,undirected,ASNS,AGBL2
215,ENSG00000070669.16,ENSG00000169403.11,0.020286082,undirected,ASNS,PTAFR
216,ENSG00000070669.16,ENSG00000172086.7,0.04054002,undirected,ASNS,KRCC1
217,ENSG00000070669.16,ENSG00000173261.8,0.037188958,undirected,ASNS,PLAC8L1
218,ENSG00000070669.16,ENSG00000174564.12,0.042691793,undirected,ASNS,IL20RB
219,ENSG00000070669.16,ENSG00000176076.7,0.022449019,undirected,ASNS,KCNE5
220,ENSG00000070669.16,ENSG00000176714.9,0.03187578,undirected,ASNS,CCDC121
221,ENSG00000070669.16,ENSG00000176809.10,0.022019982,undirected,ASNS,LRRC37A3
222,ENSG00000070669.16,ENSG00000177363.4,0.032999139,undirected,ASNS,LRRN4CL
223,ENSG00000070669.16,ENSG00000179532.12,0.021525236,undirected,ASNS,DNHD1
224,ENSG00000070669.16,ENSG00000180353.10,0.061703698,undirected,ASNS,HCLS1
225,ENSG00000070669.16,ENSG00000181016.9,0.021971896,undirected,ASNS,LSMEM1
226,ENSG00000070669.16,ENSG00000182308.6,0.045863396,undirected,ASNS,DCAF4L1
227,ENSG00000070669.16,ENSG00000185158.12,0.020365638,undirected,ASNS,LRRC37B
228,ENSG00000070669.16,ENSG00000186567.12,0.039357931,undirected,ASNS,CEACAM19
229,ENSG00000070669.16,ENSG00000187951.11,0.020953336,undirected,ASNS,ARHGAP11B
230,ENSG00000070669.16,ENSG00000196503.4,0.03014069,undirected,ASNS,ARL9
231,ENSG00000070669.16,ENSG00000197140.14,0.033315387,undirected,ASNS,ADAM32
232,ENSG00000070669.16,ENSG00000197714.8,0.031346395,undirected,ASNS,ZNF460
233,ENSG00000070669.16,ENSG00000200887.1,0.060140603,undirected,ASNS,RNU6-598P
234,ENSG00000070669.16,ENSG00000205085.11,0.054426167,undirected,ASNS,FAM71F2
235,ENSG00000070669.16,ENSG00000205090.8,0.027227292,undirected,ASNS,TMEM240
236,ENSG00000070669.16,ENSG00000214212.8,0.028205107,undirected,ASNS,C19orf38
237,ENSG00000070669.16,ENSG00000214465.3,0.036740939,undirected,ASNS,SMARCE1P6
238,ENSG00000070669.16,ENSG00000224420.3,0.023422587,undirected,ASNS,ADM5
239,ENSG00000070669.16,ENSG00000224635.1,0.072178119,undirected,ASNS,AL391095
240,ENSG00000070669.16,ENSG00000227740.1,0.029797274,undirected,ASNS,AL513329
241,ENSG00000070669.16,ENSG00000230092.7,0.032994297,undirected,ASNS,AL669831
242,ENSG00000070669.16,ENSG00000230519.2,0.028250587,undirected,ASNS,HMGB1P49
243,ENSG00000070669.16,ENSG00000232656.7,0.05006247,undirected,ASNS,IDI2-AS1
244,ENSG00000070669.16,ENSG00000241959.3,0.024005434,undirected,ASNS,RN7SL76P
245,ENSG00000070669.16,ENSG00000246922.8,0.030477145,undirected,ASNS,UBAP1L
246,ENSG00000070669.16,ENSG00000247982.6,0.027349487,undirected,ASNS,LINC00926
247,ENSG00000070669.16,ENSG00000248559.1,0.028877028,undirected,ASNS,AC109454
248,ENSG00000070669.16,ENSG00000253598.1,0.034361341,undirected,ASNS,SLC10A5
249,ENSG00000070669.16,ENSG00000256304.1,0.021704409,undirected,ASNS,CCDC150P1
250,ENSG00000070669.16,ENSG00000257225.1,0.025268268,undirected,ASNS,AC079601
251,ENSG00000070669.16,ENSG00000257604.1,0.024396565,undirected,ASNS,AC027288
