,HCT116_DMSO_8h,HCT116_DMSO_24h,HCT116_HCQ_8h,HCT116_HCQ_24h,HCT116_Rem_8h,HCT116_Rem_24h,HepG2_DMSO_8h,HepG2_DMSO_24h,HepG2_HCQ_8h,HepG2_HCQ_24h,HepG2_Rem_8h,HepG2_Rem_24h,HT29_DMSO_8h,HT29_DMSO_24h,HT29_HCQ_8h,HT29_HCQ_24h,HT29_Rem_8h,HT29_Rem_24h,PLC_DMSO_8h,PLC_DMSO_24h,PLC_HCQ_8h,PLC_HCQ_24h,PLC_Rem_8h,PLC_Rem_24h
ENSG00000202382.1,4,2,1,2,0,19,9,10,6,3,4,3,6,2,2,3,4,0,47,4,1,6,3,10
ENSG00000202392.1,10,2,3,0,4,22,1,3,5,3,0,0,7,1,1,0,29,0,11,1,2,10,0,2
ENSG00000202398.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
ENSG00000202399.1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000202400.1,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0
ENSG00000202408.2,1,1,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0
ENSG00000202440.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,2,3,0,3,0,0,0
ENSG00000202441.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
ENSG00000202445.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0
ENSG00000202468.1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000202470.1,1,1,1,0,0,16,4,0,0,1,1,0,4,2,1,0,24,0,11,0,0,1,2,0
ENSG00000202472.1,1,3,5,4,1,99,1,0,2,3,0,0,0,0,2,3,7,0,50,4,65,244,11,47
ENSG00000202515.1,51,36,10,8,7,27,24,18,5,9,17,15,7,9,4,0,23,1,87,8,3,16,15,23
ENSG00000202523.1,1,2,4,2,0,0,3,2,2,2,0,4,3,4,0,0,19,0,12,3,1,8,1,4
ENSG00000202534.1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000202538.1,11,7,2,3,1,57,1,1,6,0,0,6,0,0,0,1,8,0,42,1,10,116,5,2
ENSG00000203262.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1
ENSG00000203279.3,3,7,0,0,1,17,10,7,3,8,11,6,0,0,0,0,8,4,60,3,3,8,5,17
ENSG00000203280.4,0,0,0,0,0,0,3,5,3,1,1,1,4,1,2,0,7,0,0,0,0,0,0,0
ENSG00000203286.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
ENSG00000203288.3,0,0,0,1,0,0,5,4,16,11,3,7,14,6,5,9,46,2,19,0,6,1,0,8
ENSG00000203321.2,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,8,0,0,0,1,1
ENSG00000203325.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000203326.11,118,108,29,28,30,374,26,24,30,30,33,59,76,48,26,11,475,43,125,5,18,48,13,50
ENSG00000203327.2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,1,0,1,0,0
ENSG00000203334.4,1,0,0,0,1,1,0,0,0,0,2,3,0,0,0,2,6,0,0,0,0,1,1,0
ENSG00000203356.2,0,0,0,0,0,7,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,6,0,0
ENSG00000203392.3,0,1,0,0,0,4,3,0,2,1,0,0,2,1,0,1,4,0,13,0,0,0,0,3
ENSG00000203396.3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000203414.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,2,1,2,1,9
ENSG00000203434.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
ENSG00000203435.2,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
ENSG00000203441.2,0,0,0,0,0,0,0,1,3,0,1,0,3,0,0,0,2,0,3,1,0,0,0,0
ENSG00000203485.12,167,161,66,45,58,320,125,97,136,112,73,92,382,194,141,110,1281,57,623,56,31,123,39,91
ENSG00000203489.3,2,0,0,0,1,2,1,0,0,0,0,1,3,0,0,0,10,1,1,0,1,0,0,0
ENSG00000203496.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
ENSG00000203497.2,0,0,1,0,0,5,6,11,31,6,8,2,0,1,0,0,0,0,15,0,0,2,0,0
ENSG00000203499.11,59,80,26,28,25,337,3,5,3,14,5,3,234,116,56,44,831,47,48,9,3,9,3,16
ENSG00000203546.7,0,0,0,0,0,6,18,9,7,2,9,6,0,3,1,0,3,0,23,0,1,0,4,7
ENSG00000203573.4,2,3,0,0,0,5,1,4,1,0,4,5,2,0,0,1,20,0,7,0,0,0,4,0
ENSG00000203585.3,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
ENSG00000203593.3,0,3,2,0,0,10,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000203635.2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2,40,2,0,0,0,0,0,0
ENSG00000203644.3,16,29,13,9,9,82,34,38,30,27,29,25,39,21,12,9,136,9,250,20,1,6,11,59
ENSG00000203645.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
ENSG00000203650.8,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,1,1,0,2,0,1
ENSG00000203666.12,37,44,16,14,16,218,94,63,100,60,60,36,28,24,14,17,137,10,388,39,48,103,38,110
ENSG00000203667.9,1059,961,184,247,346,1721,1374,1172,980,884,764,326,1013,524,224,108,2107,67,6313,483,206,353,282,551
ENSG00000203668.2,148,124,41,41,47,552,241,190,163,139,137,258,259,131,88,68,1219,85,784,75,46,76,55,253
ENSG00000203684.5,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
ENSG00000203688.5,1,0,0,0,0,0,0,0,2,0,1,0,6,3,1,1,23,0,2,1,2,0,2,0
ENSG00000203697.11,0,0,0,0,0,0,0,0,1,0,0,0,209,117,67,39,1141,78,69,10,7,20,4,13
ENSG00000203705.10,67,54,10,14,17,262,22,20,13,16,22,39,21,17,5,4,127,16,116,8,8,15,19,60
ENSG00000203706.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0
ENSG00000203709.11,11,7,4,3,1,29,27,14,13,21,5,13,8,6,1,1,41,2,39,2,0,0,2,18
ENSG00000203710.11,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000203711.12,17,7,8,5,4,40,0,0,1,0,0,0,3,1,3,0,13,0,48,1,5,8,2,10
ENSG00000203721.6,0,0,3,0,0,0,11,8,6,7,11,3,0,0,0,0,1,0,23,0,2,5,0,7
ENSG00000203722.7,2,3,0,0,0,5,1,0,0,0,0,0,1,0,0,0,3,0,11,2,2,2,1,4
ENSG00000203724.10,8,13,4,3,4,36,24,17,20,5,19,8,17,7,2,3,46,1,97,11,2,8,4,24
ENSG00000203727.3,20,24,2,6,5,113,2,0,0,3,4,27,52,28,23,15,208,16,3,0,1,0,0,0
ENSG00000203734.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000203737.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,3
ENSG00000203739.3,9,7,2,2,6,24,29,16,28,17,15,6,5,6,1,3,35,2,110,15,10,23,21,29
ENSG00000203760.8,222,206,137,101,106,518,401,485,392,165,264,212,539,295,198,93,1282,133,1855,203,86,160,109,265
ENSG00000203778.7,32,34,8,10,10,169,63,59,39,54,68,34,12,7,2,0,43,6,438,34,22,17,26,156
ENSG00000203780.10,18,20,12,5,7,93,1,0,1,0,1,0,19,16,13,14,122,7,22,2,4,29,3,13
ENSG00000203782.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
ENSG00000203783.4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000203785.8,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ENSG00000203791.14,125,139,43,39,40,376,25,53,24,19,23,28,73,31,16,18,183,27,367,22,6,19,15,105
ENSG00000203797.9,0,0,0,0,0,0,47,47,39,48,20,26,0,0,0,0,1,0,67,0,0,8,2,21
ENSG00000203799.12,0,0,0,0,0,0,10,0,1,4,12,5,2,0,0,0,1,1,2,0,0,0,2,6
ENSG00000203804.4,1,5,1,0,1,0,1,1,1,4,6,2,6,1,0,2,39,4,7,0,1,5,1,4
ENSG00000203808.10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,2,0,0,1,3
ENSG00000203809.6,0,0,0,0,1,0,6,1,4,3,1,3,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000203814.6,7,4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0
ENSG00000203819.6,17,15,3,0,4,30,13,13,7,3,3,7,9,8,3,0,23,3,61,9,5,16,4,7
ENSG00000203857.9,0,0,0,0,0,0,0,0,0,0,0,0,16,2,9,2,50,0,0,0,0,0,0,0
ENSG00000203865.9,1,2,0,0,2,1,1,0,1,0,4,1,0,0,2,0,2,0,9,0,0,1,1,4
ENSG00000203867.7,19,16,2,3,3,44,0,0,2,0,2,1,0,0,0,0,9,2,356,42,38,85,36,64
ENSG00000203872.6,4,0,0,0,4,28,2,4,2,2,10,7,2,3,3,0,23,1,0,0,0,0,4,2
ENSG00000203875.10,3270,2658,612,471,597,7058,1866,1761,1559,1190,1433,2046,632,279,191,223,6322,499,5378,563,539,1674,522,2022
ENSG00000203876.9,0,2,0,1,0,0,1,6,2,4,1,2,1,2,1,0,6,0,2,0,0,4,1,1
ENSG00000203877.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,4,0,3,6,2
ENSG00000203879.11,329,291,71,62,88,722,120,82,83,62,97,114,335,138,85,54,1825,103,858,58,67,92,72,156
ENSG00000203880.11,50,45,7,8,23,225,146,105,84,100,99,100,113,90,37,41,634,73,193,13,10,19,26,100
ENSG00000203883.6,4,9,0,1,0,18,47,22,26,27,14,11,0,0,0,0,0,0,28,2,1,0,1,6
ENSG00000203886.4,1,3,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,2,3
ENSG00000203896.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000203897.3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,1,0
ENSG00000203907.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,795,76,66,110,60,202
ENSG00000203914.4,0,1,1,0,0,4,1,2,0,0,0,0,0,0,0,1,4,0,7,2,0,1,0,1
ENSG00000203930.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0
ENSG00000203943.8,63,73,18,10,22,73,1,0,0,2,3,2,19,6,1,1,31,2,69,9,3,0,5,17
ENSG00000203950.6,512,537,201,242,224,2187,0,0,4,0,1,1,464,261,191,130,865,195,6505,628,324,651,321,1762
ENSG00000203952.9,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,1,2,0,1,1
ENSG00000203965.12,6,12,1,1,3,2,1,2,2,2,3,0,2,3,1,0,22,6,32,1,0,5,1,8
ENSG00000203972.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
ENSG00000203985.10,0,0,0,1,1,0,42,28,25,84,26,10,0,0,0,0,0,1,5,0,0,0,0,0
ENSG00000203993.4,11,5,3,0,3,7,11,13,11,8,13,1,9,5,3,2,30,6,50,3,1,5,3,12
ENSG00000203995.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,7,6,12,9,3
ENSG00000203999.8,7,5,2,5,7,35,7,15,8,17,13,3,12,14,2,3,96,9,55,7,2,12,6,10
ENSG00000204019.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,459,40,18,50,41,174
ENSG00000204021.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
ENSG00000204022.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
ENSG00000204044.6,1,0,0,0,1,0,1,3,0,3,2,4,0,0,0,0,1,0,15,1,1,0,1,0
ENSG00000204052.4,17,9,2,0,2,24,9,10,4,4,9,3,31,20,13,11,68,10,231,17,4,16,14,45
ENSG00000204054.13,46,57,18,33,18,488,229,164,202,241,196,90,110,69,38,61,623,26,1798,150,150,329,160,443
ENSG00000204055.4,2,1,0,1,0,5,0,0,0,0,2,0,1,0,0,0,3,0,7,0,0,2,0,1
ENSG00000204060.7,25,30,9,4,5,97,4,2,1,4,3,0,8,5,3,15,16,2,56,3,3,8,2,10
ENSG00000204070.9,271,287,120,87,92,739,728,672,834,721,551,609,739,441,305,325,2616,254,2373,195,248,528,152,544
ENSG00000204084.12,88,96,35,35,45,407,65,65,54,51,83,66,96,39,31,21,265,28,203,21,11,33,16,71
ENSG00000204086.4,1,4,0,1,0,6,2,1,0,1,0,4,9,5,3,3,29,1,10,0,0,5,2,2
ENSG00000204091.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
ENSG00000204099.11,0,0,0,1,20,10,1525,1045,1001,1048,924,273,0,0,0,1,18,4,1,0,2,0,2,8
ENSG00000204103.3,6,0,1,6,2,38,19,11,58,40,7,36,29,18,15,32,68,8,12,0,26,46,0,7
ENSG00000204104.11,381,327,56,120,117,1212,426,362,427,320,221,386,200,79,61,63,760,75,1319,120,58,170,118,441
ENSG00000204116.11,0,0,0,0,1,1,0,0,0,0,1,0,90,35,44,27,259,40,326,42,25,52,25,78
ENSG00000204118.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,4
ENSG00000204120.14,1628,1496,475,558,418,4675,1872,1327,1942,1706,1125,1949,1059,587,570,378,5519,449,3359,341,325,774,282,990
ENSG00000204128.5,3,7,4,4,4,34,689,578,526,474,379,93,1,0,0,1,3,1,2461,203,70,100,181,495
ENSG00000204130.13,100,84,24,37,29,256,114,93,107,79,81,106,91,51,29,29,337,36,314,23,14,47,24,81
ENSG00000204131.9,6,3,0,3,0,20,3,3,2,2,6,4,2,5,2,2,25,2,83,10,9,12,8,7
ENSG00000204138.12,634,594,295,277,193,1507,1560,1201,1428,1106,1126,1328,649,295,257,271,2250,201,3476,337,406,697,260,745
ENSG00000204147.10,68,71,25,30,22,184,16,13,16,9,8,17,68,21,31,28,230,24,268,23,16,48,19,94
ENSG00000204149.10,18,23,13,8,21,146,22,17,18,38,45,86,40,20,6,8,202,30,90,6,5,21,9,33
ENSG00000204152.10,8,9,8,4,6,28,4,6,7,5,9,12,10,5,3,2,42,1,29,0,2,4,1,8
ENSG00000204160.11,129,129,58,42,44,374,117,98,107,90,65,122,159,97,52,41,439,79,332,27,13,51,20,114
ENSG00000204161.13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ENSG00000204172.12,3,1,0,0,1,8,3,2,2,0,1,2,3,1,0,1,7,0,8,0,0,0,0,0
ENSG00000204173.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ENSG00000204175.5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204177.10,7,12,2,0,2,23,18,19,20,22,7,11,9,4,1,0,40,6,29,1,1,1,2,8
ENSG00000204178.9,156,163,83,85,55,849,365,272,314,291,241,463,335,166,162,164,1718,120,1412,129,135,505,132,486
ENSG00000204179.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,5,7,6,3,7
ENSG00000204183.1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000204186.7,45,43,9,27,10,260,10,9,15,10,14,29,2,0,0,0,0,0,546,45,52,123,84,193
ENSG00000204194.1,3,1,0,0,0,3,0,0,1,0,0,2,0,0,0,2,5,0,4,1,1,1,1,0
ENSG00000204195.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ENSG00000204209.12,401,438,138,117,172,1141,404,259,304,235,268,392,333,147,144,83,1787,139,1490,175,186,416,116,453
ENSG00000204217.13,101,89,54,52,39,292,295,228,281,326,214,305,293,159,155,121,1492,84,945,81,164,292,86,224
ENSG00000204219.9,28,30,11,14,15,35,725,462,598,704,523,75,11,4,5,4,31,1,476,32,57,167,38,66
ENSG00000204220.11,517,541,124,152,199,1836,346,231,170,214,206,158,457,243,139,95,2322,97,2290,210,181,463,249,634
ENSG00000204227.4,841,739,275,194,287,2563,919,637,574,584,563,464,758,418,182,174,3050,179,3608,307,318,585,375,949
ENSG00000204228.3,34,40,10,3,15,95,38,46,12,19,39,27,66,50,15,15,317,16,281,18,22,5,25,97
ENSG00000204231.10,297,321,145,120,135,1466,471,357,384,362,372,585,424,243,117,120,2280,137,1487,143,259,446,172,660
ENSG00000204237.4,268,258,43,45,85,813,251,210,125,125,110,99,192,107,31,44,435,51,1005,96,51,151,69,213
ENSG00000204241.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0
ENSG00000204248.10,0,5,3,11,0,16,1,1,3,0,9,4,0,0,0,2,5,2,9,1,4,10,0,5
ENSG00000204252.13,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,4,0,13,2,1,0,1,2
ENSG00000204253.4,4,10,0,0,6,12,5,1,1,0,8,2,1,1,0,0,13,1,2,0,0,1,2,2
ENSG00000204256.12,2321,1987,961,921,756,8779,1563,1239,1950,1454,1544,3881,1873,961,911,770,9439,1411,6324,549,1627,3966,536,2266
ENSG00000204257.14,17,17,5,11,10,135,6,1,4,8,9,9,10,5,4,1,91,5,212,10,30,72,35,29
ENSG00000204261.8,1,1,0,0,0,0,14,10,4,4,9,6,0,2,1,4,3,1,8,1,0,1,0,9
ENSG00000204262.11,2,1,1,3,0,10,9,4,8,10,8,2,0,0,0,2,2,0,235,20,13,11,7,37
ENSG00000204264.8,0,1,0,1,3,4,120,122,147,92,80,65,44,17,19,29,236,21,254,27,16,38,16,47
ENSG00000204267.13,318,351,163,120,160,1021,375,430,376,190,318,250,406,113,125,102,1106,104,1030,114,55,108,68,245
ENSG00000204271.12,13,14,6,3,3,62,22,10,14,11,8,18,28,17,5,8,120,15,122,14,2,7,4,40
ENSG00000204272.12,267,271,114,114,109,1206,79,85,60,34,69,67,300,126,71,72,1123,81,1254,121,51,129,93,252
ENSG00000204282.4,2,2,0,2,5,16,41,34,18,25,77,111,47,13,14,23,250,48,31,3,0,9,1,19
ENSG00000204287.13,4,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000204291.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
ENSG00000204301.6,1,1,0,1,1,3,5,3,1,6,2,0,4,2,0,0,7,1,9,0,0,0,0,6
ENSG00000204304.11,30,20,9,4,8,47,29,27,17,13,29,12,9,4,3,3,28,1,76,19,6,12,6,15
ENSG00000204305.13,19,22,9,6,6,78,16,9,9,16,36,24,2,1,0,1,59,11,36,3,13,12,10,24
ENSG00000204308.7,91,68,30,34,27,257,216,206,232,227,206,128,104,38,34,38,396,50,1114,128,121,249,97,215
ENSG00000204310.12,441,508,151,146,187,1321,1116,797,785,594,802,475,692,283,192,154,2516,221,6034,568,485,634,515,1266
ENSG00000204311.13,1,6,1,1,4,15,3,3,4,6,5,1,0,2,0,0,12,0,77,10,7,10,9,26
ENSG00000204314.11,9,12,13,14,10,133,29,32,34,27,46,17,4,0,3,2,26,2,44,5,29,48,11,45
ENSG00000204315.3,246,191,59,71,89,758,125,93,64,91,31,58,90,55,72,56,373,43,781,74,39,110,39,182
ENSG00000204316.12,499,439,124,165,173,1781,411,301,306,285,252,355,422,278,132,94,1666,105,1092,95,74,189,131,313
ENSG00000204323.5,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,1,9,0,0,1,0,0,0,0
ENSG00000204334.7,3,2,2,3,1,37,1,0,0,1,1,1,2,0,2,4,8,3,18,4,11,24,8,20
ENSG00000204335.3,13,5,5,1,17,22,1301,878,1169,1029,455,415,21,8,15,26,89,7,84,6,2,3,3,32
ENSG00000204344.14,7,9,4,3,1,14,5,2,13,9,5,1,10,5,3,1,43,1,13,0,2,10,3,5
ENSG00000204347.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
ENSG00000204348.9,73,63,25,21,42,450,168,178,153,150,206,188,221,135,82,81,948,72,927,89,81,196,88,428
ENSG00000204351.11,69,72,16,13,19,129,293,249,200,143,142,56,210,101,51,30,580,16,918,86,65,78,73,116
ENSG00000204356.13,744,698,218,144,199,1564,654,392,379,339,438,135,810,505,210,176,3372,116,4356,400,322,712,420,1078
ENSG00000204362.6,1,1,0,0,0,0,1,0,0,0,0,0,0,4,4,1,19,0,0,0,0,0,0,0
ENSG00000204366.3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,4,1,0
ENSG00000204368.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ENSG00000204370.10,36,64,25,25,22,170,34,28,23,28,24,47,123,28,42,54,507,36,263,34,18,63,20,73
ENSG00000204371.11,443,419,93,55,114,1079,552,442,375,343,245,244,434,250,129,51,1515,76,1689,142,97,148,120,373
ENSG00000204381.11,0,0,0,0,0,0,4,3,1,1,0,5,0,0,0,0,0,0,16,3,1,0,0,1
ENSG00000204385.11,1,3,0,0,2,6,160,162,159,133,112,28,337,155,112,195,1016,27,2,0,0,0,1,5
ENSG00000204386.10,85,101,67,97,51,254,1782,1711,2398,2294,1117,355,350,181,207,449,953,88,5149,500,551,1634,383,855
ENSG00000204387.12,355,417,298,232,244,3203,496,589,794,344,623,1075,530,175,212,451,1758,453,2507,252,218,548,177,1375
ENSG00000204388.6,704,749,81,117,129,1087,651,544,332,250,82,243,630,206,188,365,1390,208,758,115,52,417,28,113
ENSG00000204389.9,1,6,2,1,12,10,751,596,533,341,95,277,796,318,251,356,2343,296,3065,316,301,2000,94,411
ENSG00000204390.9,8,8,1,2,1,32,19,21,23,20,8,12,13,9,3,3,56,7,235,21,67,175,11,36
ENSG00000204392.10,840,679,153,129,264,2051,548,455,252,212,314,347,896,528,127,78,2734,188,3519,289,149,167,268,770
ENSG00000204394.12,461,469,189,157,175,1406,591,509,471,293,526,385,827,450,223,98,3079,108,3494,283,253,383,302,721
ENSG00000204396.10,1,3,3,3,2,1,3,4,3,1,0,1,4,1,1,4,15,1,101,2,3,5,5,14
ENSG00000204397.7,0,0,0,0,0,0,10,8,4,1,3,0,1,0,0,0,1,0,2,0,0,0,0,0
ENSG00000204406.13,89,92,46,36,23,313,255,170,195,200,162,213,179,106,80,60,1010,90,897,99,66,132,90,165
ENSG00000204410.14,5,3,0,0,0,0,5,2,1,2,2,0,6,2,0,0,7,2,26,1,2,0,5,2
ENSG00000204420.8,0,0,0,1,0,4,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
ENSG00000204421.2,0,0,0,0,0,8,0,0,0,1,16,17,6,1,0,3,44,10,1,0,3,14,1,10
ENSG00000204427.11,10,10,5,3,2,31,9,11,11,5,9,6,14,2,0,4,36,2,122,15,7,24,6,10
ENSG00000204428.12,16,18,6,3,5,50,4,0,3,0,10,11,4,1,8,7,31,2,0,1,0,0,3,3
ENSG00000204429.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,0,0
ENSG00000204434.5,0,0,0,0,0,0,0,1,1,1,0,0,3,1,0,1,6,0,24,1,4,5,3,12
ENSG00000204435.13,1541,1343,565,576,584,3994,2100,1667,1695,1346,1573,1099,1674,864,573,468,7731,400,7810,716,684,1486,820,1969
ENSG00000204438.10,334,300,112,78,120,905,309,239,257,290,162,148,150,116,86,69,871,86,1252,124,175,455,133,325
ENSG00000204439.3,73,79,13,15,22,258,146,127,70,64,79,74,144,110,37,31,543,43,755,63,22,25,45,112
ENSG00000204442.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11,3,3,5,3,2
ENSG00000204444.10,4,5,2,7,7,44,623,440,536,359,549,319,15,10,3,4,79,6,1836,133,135,286,179,397
ENSG00000204463.12,693,724,412,278,282,1783,872,708,859,727,702,908,688,352,222,222,2807,193,3660,346,400,686,318,759
ENSG00000204469.12,328,374,110,89,125,1016,363,255,241,224,172,390,543,283,159,93,1963,115,1293,102,82,158,111,373
ENSG00000204472.12,0,0,0,0,0,0,2,1,4,0,2,0,0,0,0,0,1,0,2,0,0,1,0,0
ENSG00000204475.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ENSG00000204482.10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,10,3,11
ENSG00000204498.10,1157,972,384,321,249,4291,995,624,480,764,273,842,805,535,288,255,5172,321,4945,434,606,1658,543,2388
ENSG00000204511.2,0,0,0,0,0,0,3,4,1,1,3,0,0,0,0,0,1,0,1,0,0,2,0,0
ENSG00000204514.9,2,5,1,3,0,6,7,1,2,1,8,1,73,41,27,21,536,45,19,0,3,10,1,1
ENSG00000204516.9,716,672,550,507,214,1749,309,274,625,685,190,161,4,0,11,19,16,3,1770,135,311,1450,128,379
ENSG00000204519.10,122,125,53,46,51,422,108,80,90,77,138,173,257,163,93,63,1836,146,481,55,55,81,77,172
ENSG00000204520.12,274,254,162,132,85,566,150,145,370,293,139,193,259,87,94,81,852,84,1012,93,71,362,74,230
ENSG00000204524.6,7,5,5,5,3,24,4,5,6,2,9,10,8,2,0,6,50,5,15,4,3,7,3,7
ENSG00000204525.16,744,713,317,373,285,2803,270,270,317,247,201,196,274,107,98,205,1000,92,2062,199,201,674,181,515
ENSG00000204528.3,0,0,0,0,0,0,1,2,0,1,3,1,0,0,0,0,5,1,2,0,1,0,0,0
ENSG00000204529.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ENSG00000204531.17,0,0,0,0,0,0,3,1,2,5,3,3,0,0,0,0,7,0,2,0,1,2,0,2
ENSG00000204536.13,61,60,14,10,20,183,81,58,39,31,67,25,59,27,12,5,367,28,328,38,25,24,32,74
ENSG00000204538.3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,9,2,0,0,0,0,0,0
ENSG00000204539.3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0
ENSG00000204540.10,23,22,8,9,5,70,1,0,0,1,3,0,52,25,6,7,167,7,9,0,0,0,0,7
