,HCT116_DMSO_8h,HCT116_DMSO_24h,HCT116_HCQ_8h,HCT116_HCQ_24h,HCT116_Rem_8h,HCT116_Rem_24h,HepG2_DMSO_8h,HepG2_DMSO_24h,HepG2_HCQ_8h,HepG2_HCQ_24h,HepG2_Rem_8h,HepG2_Rem_24h,HT29_DMSO_8h,HT29_DMSO_24h,HT29_HCQ_8h,HT29_HCQ_24h,HT29_Rem_8h,HT29_Rem_24h,PLC_DMSO_8h,PLC_DMSO_24h,PLC_HCQ_8h,PLC_HCQ_24h,PLC_Rem_8h,PLC_Rem_24h
ENSG00000133246.11,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,1,0,0,0,3,0,0
ENSG00000133247.13,43,29,11,11,15,177,56,72,46,54,26,30,102,65,31,36,428,42,424,30,38,74,31,131
ENSG00000133250.13,106,105,33,31,40,226,112,67,50,71,72,57,94,55,26,16,409,33,473,34,18,37,51,133
ENSG00000133256.12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2,3
ENSG00000133265.10,953,841,255,192,278,2409,372,278,238,245,286,472,1171,733,444,235,7785,392,2620,250,278,525,336,1230
ENSG00000133275.15,561,603,208,177,242,1404,521,404,576,516,436,379,523,222,193,167,1944,124,1170,119,71,181,80,165
ENSG00000133302.12,357,319,90,77,128,888,190,130,128,84,94,127,248,118,132,37,1678,108,629,56,40,120,76,160
ENSG00000133313.14,256,225,62,38,91,691,339,301,242,217,285,223,346,186,125,111,1715,81,1594,146,70,147,109,422
ENSG00000133315.10,50,30,9,16,17,148,57,38,45,44,42,10,117,53,34,32,556,13,68,6,4,3,3,17
ENSG00000133316.15,485,426,173,141,197,1371,206,120,265,192,161,388,432,216,145,85,2106,143,661,57,87,236,69,227
ENSG00000133317.14,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000133318.13,809,798,327,255,283,2583,622,495,592,460,514,463,1640,693,547,658,7005,532,5505,600,486,1083,402,1164
ENSG00000133321.10,0,0,0,0,1,1,4,2,9,0,8,2,290,148,107,161,1282,44,8,0,0,3,0,0
ENSG00000133328.3,2,0,0,0,0,3,0,2,0,0,0,0,4,4,0,6,70,4,4,0,0,0,0,0
ENSG00000133392.17,1,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,1,4,0,0,1,0,0
ENSG00000133393.12,375,380,159,160,202,1180,312,273,385,246,258,375,371,124,146,151,1853,170,734,78,56,128,56,187
ENSG00000133398.3,294,299,141,82,165,1240,184,191,211,147,191,457,482,226,173,155,2101,308,1129,122,88,240,115,431
ENSG00000133401.15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,3,0,0
ENSG00000133422.12,60,101,41,26,29,355,147,96,127,110,61,109,138,32,64,46,471,41,453,50,17,65,23,143
