ENSG00000008083.13,ENSG00000008083,13,ENSG00000008083,JARID2
ENSG00000008086.11,ENSG00000008086,11,ENSG00000008086,CDKL5
ENSG00000008128.22,ENSG00000008128,22,ENSG00000008128,CDK11A
ENSG00000008130.15,ENSG00000008130,15,ENSG00000008130,NADK
ENSG00000008226.19,ENSG00000008226,19,ENSG00000008226,DLEC1
ENSG00000008256.15,ENSG00000008256,15,ENSG00000008256,CYTH3
ENSG00000008277.14,ENSG00000008277,14,ENSG00000008277,ADAM22
ENSG00000008282.8,ENSG00000008282,8,ENSG00000008282,SYPL1
ENSG00000008283.15,ENSG00000008283,15,ENSG00000008283,CYB561
ENSG00000008294.20,ENSG00000008294,20,ENSG00000008294,SPAG9
ENSG00000008300.16,ENSG00000008300,16,ENSG00000008300,CELSR3
ENSG00000008311.14,ENSG00000008311,14,ENSG00000008311,AASS
ENSG00000008323.15,ENSG00000008323,15,ENSG00000008323,PLEKHG6
ENSG00000008324.11,ENSG00000008324,11,ENSG00000008324,SS18L2
ENSG00000008382.15,ENSG00000008382,15,ENSG00000008382,MPND
ENSG00000008394.12,ENSG00000008394,12,ENSG00000008394,MGST1
ENSG00000008405.11,ENSG00000008405,11,ENSG00000008405,CRY1
ENSG00000008441.16,ENSG00000008441,16,ENSG00000008441,NFIX
ENSG00000008513.14,ENSG00000008513,14,ENSG00000008513,ST3GAL1
ENSG00000008516.16,ENSG00000008516,16,ENSG00000008516,MMP25
ENSG00000008517.16,ENSG00000008517,16,ENSG00000008517,IL32
ENSG00000008710.19,ENSG00000008710,19,ENSG00000008710,PKD1
ENSG00000008735.13,ENSG00000008735,13,ENSG00000008735,MAPK8IP2
ENSG00000008838.19,ENSG00000008838,19,ENSG00000008838,MED24
ENSG00000008853.16,ENSG00000008853,16,ENSG00000008853,RHOBTB2
ENSG00000008869.11,ENSG00000008869,11,ENSG00000008869,HEATR5B
ENSG00000008952.16,ENSG00000008952,16,ENSG00000008952,SEC62
ENSG00000008988.9,ENSG00000008988,9,ENSG00000008988,RPS20
ENSG00000009307.15,ENSG00000009307,15,ENSG00000009307,CSDE1
ENSG00000009335.17,ENSG00000009335,17,ENSG00000009335,UBE3C
ENSG00000009413.15,ENSG00000009413,15,ENSG00000009413,REV3L
ENSG00000009694.13,ENSG00000009694,13,ENSG00000009694,TENM1
ENSG00000009724.16,ENSG00000009724,16,ENSG00000009724,MASP2
ENSG00000009765.14,ENSG00000009765,14,ENSG00000009765,IYD
ENSG00000009780.15,ENSG00000009780,15,ENSG00000009780,FAM76A
ENSG00000009790.14,ENSG00000009790,14,ENSG00000009790,TRAF3IP3
ENSG00000009830.11,ENSG00000009830,11,ENSG00000009830,POMT2
ENSG00000009844.15,ENSG00000009844,15,ENSG00000009844,VTA1
ENSG00000009950.15,ENSG00000009950,15,ENSG00000009950,MLXIPL
ENSG00000009954.10,ENSG00000009954,10,ENSG00000009954,BAZ1B
ENSG00000010017.12,ENSG00000010017,12,ENSG00000010017,RANBP9
ENSG00000010030.13,ENSG00000010030,13,ENSG00000010030,ETV7
ENSG00000010072.15,ENSG00000010072,15,ENSG00000010072,SPRTN
ENSG00000010165.19,ENSG00000010165,19,ENSG00000010165,METTL13
ENSG00000010219.13,ENSG00000010219,13,ENSG00000010219,DYRK4
ENSG00000010244.18,ENSG00000010244,18,ENSG00000010244,ZNF207
ENSG00000010256.10,ENSG00000010256,10,ENSG00000010256,UQCRC1
ENSG00000010270.13,ENSG00000010270,13,ENSG00000010270,STARD3NL
ENSG00000010278.13,ENSG00000010278,13,ENSG00000010278,CD9
ENSG00000010292.12,ENSG00000010292,12,ENSG00000010292,NCAPD2
ENSG00000010295.19,ENSG00000010295,19,ENSG00000010295,IFFO1
ENSG00000010310.8,ENSG00000010310,8,ENSG00000010310,GIPR
